recovery_step,strategy,remaining_PAS
0,NP,0.9999999999998826
1,NP,0.8574039191603406
2,NP,0.7351414805915982
3,NP,0.6303131865966458
4,NP,0.5404329964864707
5,NP,0.4633693692311209
6,NP,0.3972947131976646
7,NP,0.3406420441574012
8,NP,0.2920678236913799
9,NP,0.2504200966936499
10,NP,0.214711172341672
11,NP,0.1840942006532825
12,NP,0.1578430891348331
13,NP,0.1353352832365968
14,NP,0.1160370022477464
15,NP,0.0994905804948467
16,NP,0.0853036136358289
17,NP,0.0731396526499078
18,NP,0.0627102248280643
19,NP,0.0537679925390147
20,NP,0.0461008875283406
21,NP,0.0395270816435739
22,NP,0.033890674714175
23,NP,0.0290579973229253
24,NP,0.0249144407876298
25,NP,0.0213617391750045
0,CDP,0.0193498452012361
1,CDP,0.011102039874949
2,CDP,0.0063698333554153
3,CDP,0.0036547136771969
4,CDP,0.0020969044741076
5,CDP,0.0
6,CDP,0.0
7,CDP,0.0
8,CDP,0.0
0,DRAD-CF-MPC,0.0990946617881486
1,DRAD-CF-MPC,0.0472444332518566
2,DRAD-CF-MPC,0.0225242856982643
3,DRAD-CF-MPC,0.010738692609824
4,DRAD-CF-MPC,0.0051197858397425
5,DRAD-CF-MPC,0.0024409123156061
6,DRAD-CF-MPC,0.0
7,DRAD-CF-MPC,0.0
