strategy,sensitivity_type,sensitivity_value,mean_EP_max,mean_PAS_at_T_opt,mean_RT,mean_RI,mean_RE
CDP,detection_rate,5e-06,0.2306763611541439,0.241742121367393,5.2260815306378685,0.8711103720474844,0.4693970400141879
CDP,detection_rate,1e-05,0.2306763611541439,0.241742121367393,5.2260815306378685,0.8711103720474844,0.4693970400141879
CDP,detection_rate,5e-05,0.144564888751125,0.1769147054458655,4.062000330854191,0.9108643565400552,0.5203165580174895
CDP,detection_rate,0.0001,0.1044128870538721,0.1254264400457205,3.1380211264924336,0.9430552105561152,0.5608716509990056
CDP,infection_rate,0.005,0.0750673955199194,0.0771285754510252,2.324139246316966,0.9689882273883572,0.5957504980003424
CDP,infection_rate,0.01,0.2306763611541439,0.241742121367393,5.2260815306378685,0.8711103720474844,0.4693970400141879
CDP,infection_rate,0.02,0.4464274542933702,0.4696698907821177,8.865013215661605,0.7379572415639394,0.3194424581938608
CDP,infection_rate,0.03,0.6435888856810505,0.6629476224801079,11.858205708543723,0.6205729809680318,0.1972388834573933
DRAD-CF-MPC,detection_rate,5e-06,0.2296389326570664,0.24087420436963,5.21283842502255,0.8722648134932651,0.4699745955364544
DRAD-CF-MPC,detection_rate,1e-05,0.2273489799405997,0.2387330288986396,5.17843956101135,0.8732311386843412,0.4713820034504454
DRAD-CF-MPC,detection_rate,5e-05,0.1476259963500533,0.1768471070347269,4.061209438028769,0.9107621406860364,0.5205723517102281
DRAD-CF-MPC,detection_rate,0.0001,0.1020461594484667,0.1303747730711988,3.220882283793936,0.9382265793447356,0.5576328989750242
DRAD-CF-MPC,infection_rate,0.005,0.0735204380569714,0.0754067256892453,2.3192370994204627,0.9680564220283386,0.5954526022789052
DRAD-CF-MPC,infection_rate,0.01,0.2273489799405997,0.2387330288986396,5.17843956101135,0.8732311386843412,0.4713820034504454
DRAD-CF-MPC,infection_rate,0.02,0.4521542997991561,0.4809411026160612,9.05422143842842,0.731332048344968,0.3112926656115308
DRAD-CF-MPC,infection_rate,0.03,0.6280301421287574,0.6586332684799118,11.83180374275352,0.6231461615800266,0.1979512787825861
